date,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,RET
1999-11-01,-0.5545229754985737,0.0007171029042667,2.2211627379661584e-10,-0.006464,56.66081231819077,0.200603
1999-11-02,-0.2223380474478969,0.0006485084306095,1.3619497093023363e-10,-0.004712,44.06295794055248,0.105773
1999-11-03,-0.6115958359031124,0.0006548788474132,-3.2566513790184475e-11,0.005335,17.114236346536604,-0.009728
1999-11-04,0.0292486708925467,0.0003607503607503,-3.3089001651761586e-10,0.00569,17.614805013013715,-0.092338
1999-11-05,-0.5158465121159124,0.0,4.2476322973078265e-11,0.00557,8.5282692854487,0.005772
1999-11-08,0.3249363332572494,0.0066644451849383,3.9422124958967385e-10,0.004948,11.299413836092825,0.076399
1999-11-09,-0.4723631756773105,0.0032938076416337,1.1274356471854717e-10,-0.008518,5.961986833183876,0.011663
1999-11-10,-0.1875999677168474,0.0026315789473684,1.5662285940341426e-11,0.005991,4.843518295750312,0.001318
1999-11-11,-0.1623342462536774,0.0089193825042881,-6.08325447604833e-10,0.005825,4.057249403993788,-0.041118
1999-11-12,-0.1900874116920887,0.0024673951357067,-5.022254605297486e-10,0.010569,3.2860173661993395,-0.026758
1999-11-15,0.2532914004259852,0.004730713245997,-4.850248462755448e-10,-0.001196,4.118337306708077,-0.031371
1999-11-16,0.5621937974821356,0.0,6.589028982674249e-10,0.018417,6.433640996478642,0.071325
1999-11-17,-0.2768002991645489,0.0006600660066006,3.6255831420561134e-10,-0.006591,4.652807243936047,0.029212
1999-11-18,-0.2472089164249686,0.0013342228152101,-1.7597790899869228e-10,0.010087,3.502591806828372,-0.010561
1999-11-19,0.3364108104057648,0.0003378378378378,-1.6006670898489483e-10,-0.002063,4.680901555084097,-0.012675
1999-11-22,-0.405949569073268,0.0003380662609871,-1.4380367003984128e-11,-0.000745,2.780691585923317,-0.000676
1999-11-23,5.339451453561541,0.0011904761904761,4.0147594543060885e-10,-0.011471,17.62805931628792,0.135903
1999-11-24,-0.6767278039883495,0.001865671641791,-4.0917315868760864e-10,0.008856,5.69866144660003,-0.042857
1999-11-26,-0.6473689159599845,0.0072639225181598,7.21114933342065e-10,-0.000325,2.0095251634916123,0.027363
1999-11-29,3.1146526625125848,0.0027533039647577,5.784120320330052e-10,-0.006205,8.2684980643468,0.099274
1999-11-30,0.8895657648316069,0.0005274261603375,1.3010464018540334e-10,-0.013439,15.62387086896612,0.044053
1999-12-01,-0.4431516408875897,0.0002871912693854,-4.72185871554681e-10,0.006343,8.700126856367971,-0.081751
1999-12-02,-0.6428879388906137,0.0017421602787456,-1.7845354322858231e-10,0.008099,3.106920233590692,-0.010913
1999-12-03,0.5436795809970327,0.0045289855072463,-4.2219475444827906e-10,0.017217,4.796089324380482,-0.038328
1999-12-06,-0.3265954341897648,0.0005767012687427,7.358037309745122e-10,-0.006956,3.229708449071542,0.047101
1999-12-07,0.7567915322130085,0.0005530973451327,3.6395358525750894e-10,-0.009949,5.673924454845695,0.042676
1999-12-08,0.002220359073694,0.0002587991718426,5.461515738403094e-10,-0.003754,5.686522604492465,0.068584
1999-12-09,0.0865425481790891,0.01,2.4918759336481477e-10,0.003013,6.178648760963234,0.035197
1999-12-10,-0.44861660778636,0.0030800821355236,-3.4275316811861625e-10,0.006342,3.406804313116511,-0.026
1999-12-13,0.2447700826578926,0.0010940919037199,-6.952268902276726e-10,-0.001284,4.240688086437305,-0.061602
1999-12-14,0.0251278440959623,0.0023041474654377,-5.834314848299989e-10,-0.008515,4.347247435532906,-0.050328
1999-12-15,-0.1038309925764928,0.0005425935973955,7.510158479044743e-10,0.007234,3.895868419325912,0.061636
1999-12-16,1.6430247637868214,0.0046125461254612,6.910949269906136e-10,0.003863,10.296876708733404,0.176343
1999-12-17,-0.2318910921899344,0.0008873114463176,1.9467148831778084e-10,0.001586,7.909122722600118,0.039668
1999-12-20,-0.4865519215293697,0.0026200873362445,1.5025995091456528e-10,-0.002069,4.06092386430743,0.015972
1999-12-21,0.2332774095906975,-0.0004140786749482,3.9483425722632674e-10,0.010817,5.008245663918112,0.054585
1999-12-22,-0.2226550558559188,0.0,-3.4774899397495063e-10,0.001884,3.8931344458782617,-0.036025
1999-12-23,0.0674080607647276,0.0002220741727737,-3.072721609720923e-10,0.015465,4.155563089171278,-0.032861
1999-12-27,-0.5297097578113281,0.0008745080891998,3.0862515832986154e-10,-0.00085,1.954320771636666,0.015767
1999-12-28,-0.0106431197434907,0.0046040515653775,-1.0475275197576714e-09,0.000384,1.9335207016469456,-0.050284
1999-12-29,1.173264330759877,0.0002058884084826,1.012447745134631e-09,0.003979,4.202051573675116,0.118094
1999-12-30,0.02030740883397,0.0030581039755351,6.022494541295285e-10,0.00069,4.287384352923165,0.077208
1999-12-31,-0.389320668185192,0.0019076688286913,2.4363085899407462e-11,0.003264,2.618217011876381,0.001911
2000-01-03,0.2057181045464988,0.0007782101167315,-2.0982533440070208e-10,-0.009549,3.1568316528509874,-0.019458
2000-01-04,-0.243256070143106,0.0016666666666666,-1.0093676421893335e-09,-0.038345,2.38891319087509,-0.066148
2000-01-05,4.471368341062134,0.0011022927689594,-1.6231833840654872e-10,0.001922,13.070624002099692,-0.055
